,04:25.241,,,,
1,04:26.241,,00:01.000,,
2,04:27.242,,00:01.001,,
3,04:28.243,,00:01.001,,
4,04:29.241,,00:00.998,,
5,04:30.241,,00:01.000,,
6,04:31.243,,00:01.002,,
7,04:32.242,,00:00.999,,
8,04:33.243,,00:01.001,,
9,04:34.243,,00:01.000,,
10,04:35.242,,00:00.999,,
11,04:36.242,,00:01.000,,
12,04:37.243,,00:01.001,,
13,04:38.242,,00:00.999,,
14,04:39.242,,00:01.000,,
15,04:40.243,,00:01.001,,
16,04:41.243,,00:01.000,,
17,04:42.241,,00:00.998,,
18,04:43.242,,00:01.001,,
19,04:44.242,,00:01.000,,
20,04:45.242,,00:01.000,,
21,04:46.242,,00:01.000,,
22,04:47.242,,00:01.000,,
23,04:48.242,,00:01.000,,
24,04:49.242,,00:01.000,,
25,04:50.242,,00:01.000,,
26,04:51.242,,00:01.000,,
27,04:52.243,,00:01.001,,
28,04:53.242,,00:00.999,,
29,04:54.242,,00:01.000,,
30,04:55.242,,00:01.000,,
31,04:56.242,,00:01.000,,
32,04:57.243,,00:01.001,,
33,04:58.242,,00:00.999,,
34,04:59.242,,00:01.000,,
35,05:00.243,,00:01.001,,
36,05:01.243,,00:01.000,,
37,05:02.242,,00:00.999,,
38,05:03.243,,00:01.001,,
39,05:04.243,,00:01.000,,
40,05:05.242,,00:00.999,,
41,05:06.243,,00:01.001,,
42,05:07.242,,00:00.999,,
43,05:08.242,,00:01.000,,
44,05:09.242,,00:01.000,,
45,05:10.242,,00:01.000,,
46,05:11.242,,00:01.000,,
47,05:12.242,,00:01.000,,
48,05:13.243,,00:01.001,,
49,05:14.242,,00:00.999,,
50,05:15.242,,00:01.000,,
51,05:16.242,,00:01.000,,
52,05:17.242,,00:01.000,,
53,05:18.243,,00:01.001,,
54,05:19.243,,00:01.000,,
55,05:20.243,,00:01.000,,
56,05:21.242,,00:00.999,,
57,05:22.242,,00:01.000,,
58,05:23.242,,00:01.000,,
59,05:24.244,,00:01.002,,
60,05:25.242,,00:00.998,,
61,05:26.242,,00:01.000,,
62,05:27.242,,00:01.000,,
63,05:28.243,,00:01.001,,
64,05:29.243,,00:01.000,,
65,05:30.242,,00:00.999,,
66,05:31.242,,00:01.000,,
67,05:32.242,,00:01.000,,
68,05:33.243,,00:01.001,,
69,05:34.243,,00:01.000,,
70,05:35.243,,00:01.000,,
71,05:36.243,,00:01.000,,
72,05:37.242,,00:00.999,,
73,05:38.243,,00:01.001,,
74,05:39.243,,00:01.000,,
75,05:40.242,,00:00.999,,
76,05:41.242,,00:01.000,,
77,05:42.242,,00:01.000,,
78,05:43.243,,00:01.001,,
79,05:44.242,,00:00.999,,
80,05:45.243,,00:01.001,,
81,05:46.243,,00:01.000,,
82,05:47.243,,00:01.000,,
83,05:48.242,,00:00.999,,
84,05:49.242,,00:01.000,,
85,05:50.242,,00:01.000,,
86,05:51.243,,00:01.001,,
87,05:52.243,,00:01.000,,
88,05:53.244,,00:01.001,,
89,05:54.244,,00:01.000,,
90,05:55.243,,00:00.999,,
91,05:56.244,,00:01.001,,
92,05:57.242,,00:00.998,,
93,05:58.242,,00:01.000,,
94,05:59.244,,00:01.002,,
95,06:00.243,,00:00.999,,
96,06:01.242,,00:00.999,,
97,06:02.243,,00:01.001,,
98,06:03.243,,00:01.000,,
99,06:04.244,,00:01.001,,Ave
100,06:05.243,,00:00.999,,00:01.000
