Initial VO,C_Data,True,Reading,Vout,VO,Vtemp lower(Cal), Vtemp upper(Cal),Vtemp lower(Conf), Vtemp upper(Conf)
="0.009",="-80.9",="20.00",="3031.9",="4",="0.009",="20",="32",="20",="32"
="0.009",="-559.4",="40.00",="-14.8",="3",="0.008"
="0.009",="-346.5",="60.00",="-384.2",="1",="0.009"
="0.008",="-555.1",="80.00",="-588.7",="2",="0.008"
="0.009",="-91.3",="100.00",="-873.7",="2",="0.009"
="0.009",="1563.8",="120.00",="-176.8",="3",="0.009"
="0.009",="2.2",="140.00",="518.6",="4",="0.008"
="0.009",="-739.8",="160.00",="-2735.6",="3",="0.008"
="0.008",="1656.2",="180.00",="1582.5",="2",="0.009"
="0.009",="-1787.0",="200.00",="-551.7",="3",="0.008"

FB90,FB91,FB92,FB93,FB94,FB95,FB96,FB97,FB98,FB99,FB9A,FB9B,FB9C,FB9D,FB9E,FB9F,FBA0,FBA1,FBA2,FBA3,FB41,FB42
="85",="79",="A3",="7B",="7A",="D9",="66",="5D",="00",="1C",="85",="2D",="51",="2C",="A3",="D5",="7A",="7E",="FF",="AE",="EF",="3F",
